date,instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
2026-01-23T01:00:00.000000,BTC-23JAN26-87000-P,23JAN26,2026-01-23,87000.0,put,1296.4,1117.4,-0.01954,-17.82712,1.64992,0.00005,-0.03058,55.71,67.03,62.13
2026-01-23T01:00:00.000000,BTC-23JAN26-88000-C,23JAN26,2026-01-23,88000.0,call,42.2,137.6,0.58371,-68.47309,2.89055,0.00011,0.93873,0.0,75.99,47.38
2026-01-23T01:00:00.000000,BTC-23JAN26-88000-P,23JAN26,2026-01-23,88000.0,put,902.0,890.5,-0.03912,-30.3263,2.89055,0.00011,-0.06127,46.25,49.29,47.38
2026-01-23T01:00:00.000000,BTC-23JAN26-89000-C,23JAN26,2026-01-23,89000.0,call,41.6,112.9,0.50022,-124.57133,6.74462,0.00032,0.7969,26.19,40.73,36.94
2026-01-23T01:00:00.000000,BTC-23JAN26-89000-P,23JAN26,2026-01-23,89000.0,put,562.6,501.2,-0.13025,-102.20485,6.76175,0.00032,-0.20397,35.18,37.86,36.94
2026-01-23T01:00:00.000000,BTC-23JAN26-90000-C,23JAN26,2026-01-23,90000.0,call,580.7,802.6,0.22233,-132.66394,8.85967,0.00052,0.35199,27.06,32.13,29.95
2026-01-23T01:00:00.000000,BTC-23JAN26-90000-P,23JAN26,2026-01-23,90000.0,put,410.4,945.8,-0.41466,-132.66394,8.85967,0.00052,-0.64801,25.36,35.48,29.95
2026-01-23T01:00:00.000000,BTC-23JAN26-91000-C,23JAN26,2026-01-23,91000.0,call,220.3,503.8,0.03303,-16.6868,2.54788,0.00014,0.0522,32.93,35.99,32.57
2026-01-23T01:00:00.000000,BTC-23JAN26-91000-P,23JAN26,2026-01-23,91000.0,put,36.5,288.6,-0.61127,-41.25757,2.5333,0.00014,-0.94817,0.0,54.28,32.57
2026-01-23T01:00:00.000000,BTC-23JAN26-92000-C,23JAN26,2026-01-23,92000.0,call,450.9,1552.2,0.01664,-11.43666,1.45678,0.00005,0.02633,0.0,52.29,48.47
2026-01-23T01:00:00.000000,BTC-23JAN26-92000-P,23JAN26,2026-01-23,92000.0,put,4.2,1369.2,-0.63441,-35.46535,1.4635,0.00005,-0.97353,0.0,77.67,48.47
2026-01-23T01:00:00.000000,BTC-23JAN26-93000-C,23JAN26,2026-01-23,93000.0,call,92.6,579.8,0.00376,-2.40551,0.40254,0.00001,0.00594,0.0,63.13,53.46
2026-01-23T01:00:00.000000,BTC-23JAN26-93000-P,23JAN26,2026-01-23,93000.0,put,5.0,243.3,-0.65446,-10.76087,0.40254,0.00001,-0.99406,0.0,107.71,53.46
2026-01-23T01:00:00.000000,BTC-23JAN26-94000-C,23JAN26,2026-01-23,94000.0,call,82.5,1129.4,0.00087,-0.52833,0.10714,0.0,0.00137,0.0,78.91,58.25
2026-01-23T01:00:00.000000,BTC-23JAN26-94000-P,23JAN26,2026-01-23,94000.0,put,0.4,183.1,-0.66444,-3.10212,0.10651,0.0,-0.99864,0.0,126.87,58.25
2026-01-23T01:00:00.000000,BTC-23JAN26-95000-C,23JAN26,2026-01-23,95000.0,call,13.5,682.6,0.00061,-0.43582,0.07809,0.0,0.00097,0.0,94.21,69.11
2026-01-23T01:00:00.000000,BTC-23JAN26-95000-P,23JAN26,2026-01-23,95000.0,put,0.7,352.1,-0.67176,-2.69824,0.07809,0.0,-0.99903,0.0,144.05,69.11
2026-01-23T01:00:00.000000,BTC-23JAN26-96000-C,23JAN26,2026-01-23,96000.0,call,215.8,1166.8,0.00016,-0.10764,0.02229,0.0,0.00025,0.0,108.97,72.8
2026-01-23T01:00:00.000000,BTC-23JAN26-96000-P,23JAN26,2026-01-23,96000.0,put,1.1,102.2,-0.67929,-0.81139,0.02229,0.0,-0.99975,0.0,160.42,72.8
2026-01-23T01:00:00.000000,BTC-23JAN26-97000-C,23JAN26,2026-01-23,97000.0,call,218.1,587.0,0.00002,-0.01147,0.00301,0.0,0.00003,0.0,123.42,72.84
2026-01-23T01:00:00.000000,BTC-23JAN26-97000-P,23JAN26,2026-01-23,97000.0,put,1.0,44.5,-0.68651,-0.1096,0.00301,0.0,-0.99997,0.0,173.03,72.84
2026-01-23T01:00:00.000000,BTC-23JAN26-98000-C,23JAN26,2026-01-23,98000.0,call,1.3,812.8,0.0,-0.00096,0.00031,0.0,0.0,0.0,137.47,72.84
2026-01-23T01:00:00.000000,BTC-23JAN26-98000-P,23JAN26,2026-01-23,98000.0,put,0.1,12.5,-0.69361,-0.01138,0.00031,0.0,-1.0,0.0,204.09,72.84
2026-01-23T01:00:00.000000,BTC-23JAN26-99000-C,23JAN26,2026-01-23,99000.0,call,0.5,212.0,0.0,-0.00006,0.00003,0.0,0.0,0.0,151.22,72.85
